language,label
java,Vulnerable
cpp,Vulnerable
java,Vulnerable
c,Vulnerable
c,Vulnerable
javascript,Vulnerable
cpp,Vulnerable
javascript,Vulnerable
javascript,Vulnerable
python,Vulnerable
c,Vulnerable
c,Secure
c,Vulnerable
c,Vulnerable
cpp,Quantum-Safe
c,Vulnerable
cpp,Secure
cpp,Quantum-Safe
javascript,Vulnerable
c,Vulnerable
c,Secure
python,Vulnerable
javascript,Secure
cpp,Secure
c,Quantum-Safe
cpp,Vulnerable
c,Vulnerable
java,Vulnerable
c,Vulnerable
javascript,Vulnerable
c,Vulnerable
cpp,Vulnerable
javascript,Vulnerable
javascript,Vulnerable
python,Vulnerable
javascript,Secure
cpp,Vulnerable
cpp,Vulnerable
c,Secure
javascript,Vulnerable
cpp,Vulnerable
java,Vulnerable
c,Quantum-Safe
python,Secure
javascript,Quantum-Safe
javascript,Quantum-Safe
cpp,Vulnerable
cpp,Vulnerable
java,Vulnerable
java,Vulnerable
cpp,Vulnerable
cpp,Vulnerable
javascript,Secure
python,Secure
javascript,Quantum-Safe
c,Vulnerable
c,Quantum-Safe
python,Vulnerable
python,Secure
java,Vulnerable
c,Vulnerable
python,Vulnerable
c,Vulnerable
java,Vulnerable
c,Vulnerable
c,Quantum-Safe
javascript,Quantum-Safe
java,Vulnerable
cpp,Quantum-Safe
python,Vulnerable
java,Quantum-Safe
cpp,Secure
java,Secure
java,Vulnerable
c,Secure
python,Vulnerable
java,Secure
java,Vulnerable
cpp,Vulnerable
java,Vulnerable
javascript,Vulnerable
java,Vulnerable
javascript,Vulnerable
java,Quantum-Safe
c,Vulnerable
c,Vulnerable
javascript,Vulnerable
java,Vulnerable
javascript,Vulnerable
cpp,Secure
python,Vulnerable
javascript,Vulnerable
cpp,Secure
c,Vulnerable
c,Secure
c,Vulnerable
c,Vulnerable
c,Secure
c,Vulnerable
cpp,Vulnerable
java,Vulnerable
cpp,Vulnerable
c,Secure
javascript,Vulnerable
c,Vulnerable
javascript,Quantum-Safe
javascript,Quantum-Safe
c,Secure
java,Secure
python,Vulnerable
c,Vulnerable
javascript,Secure
cpp,Vulnerable
cpp,Quantum-Safe
java,Vulnerable
cpp,Secure
cpp,Quantum-Safe
c,Vulnerable
python,Vulnerable
javascript,Secure
javascript,Vulnerable
cpp,Quantum-Safe
